id,slot_type,filler,mode,source_subtitle_id,freq,pos_tag,prep,remix_type,remix_prep,remix_word_count,centroid_dot,norm_sq,token_count,popularity_score,popularity_level,popularity_confidence
1,list_item,science,strict,863,43,,,,,,,,,0.13575383803896363,1,1.0
2,list_item,decision making,strict,863,1,,,,,,,,,,0,0.0
3,list_item,race,strict,962,73,,,,,,,,,0.20286376413483956,1,1.0
4,list_item,group identity,strict,962,1,,,,,,,,,,0,0.0
5,list_item,sailors,strict,1226,2,,,,,,,,,0.4672849143081547,1,1.0
6,list_item,slaves,strict,1226,4,,,,,,,,,0.322730066303844,1,1.0
7,list_item,commoners,strict,1226,2,,,,,,,,,0.4672849143081547,1,1.0
8,list_item,Mark Klett,strict,1542,2,,,,,,,,,0.15754596268750903,1,1.0
9,list_item,photography,strict,1542,9,,,,,,,,,0.16224646847851912,1,1.0
10,list_item,Walter Hagen,strict,1705,2,,,,,,,,,0.1162080170959141,1,1.0
11,list_item,Bobby Jones,strict,1705,4,,,,,,,,,0.1162080170959141,1,1.0
12,list_item,citizens,strict,1977,3,,,,,,,,,,0,0.0
13,list_item,politicians,strict,1977,4,,,,,,,,,0.20828491986112413,1,1.0
14,list_item,ideas,strict,2621,2,,,,,,,,,,0,0.0
15,list_item,public policy,strict,2621,3,,,,,,,,,,0,0.0
16,list_item,capitalism,strict,3194,4,,,,,,,,,0.0,1,1.0
17,list_item,politics,strict,3194,85,,,,,,,,,0.2976061458326219,1,1.0
18,list_item,Marx,strict,3679,12,,,,,,,,,0.0709145346081326,1,1.0
19,list_item,Keynes,strict,3679,1,,,,,,,,,,0,0.0
20,list_item,Slaves,strict,4503,7,,,,,,,,,0.19417016970076534,1,1.0
21,list_item,masters,strict,4503,1,,,,,,,,,,0,0.0
22,list_item,disability,strict,4937,2,,,,,,,,,,0,0.0
23,list_item,insurance,strict,4937,2,,,,,,,,,,0,0.0
24,list_item,Krafft-Ebing,strict,4966,1,,,,,,,,,,0,0.0
25,list_item,psychiatry,strict,4966,2,,,,,,,,,,0,0.0
26,list_item,Fritz Haber,strict,6257,4,,,,,,,,,0.15753953341184945,1,1.0
27,list_item,Carl Bosch,strict,6257,3,,,,,,,,,0.17820529156981713,1,1.0
28,list_item,China,strict,6818,27,,,,,,,,,0.25262024192530785,1,1.0
29,list_item,Britain,strict,6818,31,,,,,,,,,0.3958250417292603,1,1.0
30,list_item,France,strict,6818,16,,,,,,,,,0.32337067731382146,1,1.0
31,list_item,Literature,strict,7722,34,,,,,,,,,0.23319867467675884,1,1.0
32,list_item,art,strict,7722,24,,,,,,,,,0.2551360588295194,1,1.0
33,list_item,Cicero,strict,8169,2,,,,,,,,,,0,0.0
34,list_item,Catullus,strict,8169,1,,,,,,,,,,0,0.0
35,list_item,trash taste,strict,8463,1,,,,,,,,,,0,0.0
36,list_item,popular power,strict,8463,1,,,,,,,,,,0,0.0
37,list_item,extreme capitalism,strict,8870,2,,,,,,,,,0.2536475057252754,1,1.0
38,list_item,market populism,strict,8870,2,,,,,,,,,0.2536475057252754,1,1.0
39,list_item,institutions,strict,10269,11,,,,,,,,,,0,0.0
40,list_item,strategic restraint,strict,10269,1,,,,,,,,,,0,0.0
41,list_item,Knowledge,strict,10300,10,,,,,,,,,0.2147504864542912,1,1.0
42,list_item,social institutions,strict,10300,3,,,,,,,,,,0,0.0
43,list_item,redistricting,strict,10904,1,,,,,,,,,,0,0.0
44,list_item,kinship,strict,11183,2,,,,,,,,,,0,0.0
45,list_item,gender,strict,11183,36,,,,,,,,,0.009275218093181374,1,1.0
46,list_item,computers,strict,11733,2,,,,,,,,,,0,0.0
